ANO	SEM_NOT	Início	Término
2017	201746	2017-11-12	2017-11-18
2017	201747	2017-11-19	2017-11-25
2017	201748	2017-11-26	2017-12-02
2017	201749	2017-12-03	2017-12-09
2017	201750	2017-12-10	2017-12-16
2017	201751	2017-12-17	2017-12-23
2017	201752	2017-12-24	2017-12-30
2018	20181	2017-12-31	2018-01-06
2018	20182	2018-01-07	2018-01-13
2018	20183	2018-01-14	2018-01-20
2018	20184	2018-01-21	2018-01-27
2018	20185	2018-01-28	2018-02-03
2018	20186	2018-02-04	2018-02-10
2018	20187	2018-02-11	2018-02-17
2018	20188	2018-02-18	2018-02-24
2018	20189	2018-02-25	2018-03-03
2018	201810	2018-03-04	2018-03-10
2018	201811	2018-03-11	2018-03-17
2018	201812	2018-03-18	2018-03-24
2018	201813	2018-03-25	2018-03-31
2018	201814	2018-04-01	2018-04-07
2018	201815	2018-04-04	2018-04-14
2018	201816	2018-04-15	2018-04-21
2018	201817	2018-04-22	2018-04-28
2018	201818	2018-04-29	2018-05-05
2018	201819	2018-05-06	2018-05-12
2018	201820	2018-05-13	2018-05-19
2018	201821	2018-05-20	2018-05-26
2018	201822	2018-05-27	2018-06-02
2018	201823	2018-06-03	2018-06-09
2018	201824	2018-06-10	2018-06-16
2018	201825	2018-06-17	2018-06-23
2018	201826	2018-06-24	2018-06-30
2018	201827	2018-07-01	2018-07-07
2018	201828	2018-07-08	2018-07-14
2018	201829	2018-07-15	2018-07-21
2018	201830	2018-07-22	2018-07-28
2018	201831	2018-07-29	2018-08-04
2018	201832	2018-08-05	2018-08-11
2018	201833	2018-08-12	2018-08-18
2018	201834	2018-08-19	2018-08-25
2018	201835	2018-08-26	2018-09-01
2018	201836	2018-09-02	2018-09-08
2018	201837	2018-09-09	2018-09-15
2018	201838	2018-09-16	2018-09-22
2018	201839	2018-09-23	2018-09-29
2018	201840	2018-09-30	2018-10-06
2018	201841	2018-10-07	2018-10-13
2018	201842	2018-10-14	2018-10-20
2018	201843	2018-10-21	2018-10-27
2018	201844	2018-10-28	2018-11-03
2018	201845	2018-11-04	2018-11-10
2018	201846	2018-11-11	2018-11-17
2018	201847	2018-11-18	2018-11-24
2018	201848	2018-11-25	2018-12-01
2018	201849	2018-12-02	2018-12-08
2018	201850	2018-12-09	2018-12-15
2018	201851	2018-12-16	2018-12-22
2018	201852	2018-12-23	2018-12-29
2019	20191	2018-12-30	2019-01-05
2019	20192	2019-01-06	2019-01-12
2019	20193	2019-01-13	2019-01-19
2019	20194	2019-01-20	2019-01-26
2019	20195	2019-01-27	2019-02-02
2019	20196	2019-02-03	2019-02-09
2019	20197	2019-02-10	2019-02-16
2019	20198	2019-02-17	2019-02-23
2019	20199	2019-02-24	2019-03-02
2019	201910	2019-03-03	2019-03-09
2019	201911	2019-03-10	2019-03-16
2019	201912	2019-03-17	2019-03-23
2019	201913	2019-03-24	2019-03-30
2019	201914	2019-03-31	2019-04-06
2019	201915	2019-04-07	2019-04-13
2019	201916	2019-04-14	2019-04-20
2019	201917	2019-04-21	2019-04-27
2019	201918	2019-04-28	2019-05-04
2019	201919	2019-05-05	2019-05-11
2019	201920	2019-05-12	2019-05-18
2019	201921	2019-05-19	2019-05-25
2019	201922	2019-05-26	2019-06-01
2019	201923	2019-06-02	2019-06-08
2019	201924	2019-06-09	2019-06-15
2019	201925	2019-06-16	2019-06-22
2019	201926	2019-06-23	2019-06-29
2019	201927	2019-06-30	2019-07-06
2019	201928	2019-07-07	2019-07-13
2019	201929	2019-07-14	2019-07-20
2019	201930	2019-07-21	2019-07-27
2019	201931	2019-07-28	2019-08-03
2019	201932	2019-08-04	2019-08-10
2019	201933	2019-08-11	2019-08-17
2019	201934	2019-08-18	2019-08-24
2019	201935	2019-08-25	2019-08-31
2019	201936	2019-09-01	2019-09-07
2019	201937	2019-09-08	2019-09-14
2019	201938	2019-09-15	2019-09-21
2019	201939	2019-09-22	2019-09-28
2019	201940	2019-09-29	2019-10-05
2019	201941	2019-10-06	2019-10-12
2019	201942	2019-10-13	2019-10-19
2019	201943	2019-10-20	2019-10-26
2019	201944	2019-10-27	2019-11-02
2019	201945	2019-11-03	2019-11-09
2019	201946	2019-11-10	2019-11-16
2019	201947	2019-11-17	2019-11-23
2019	201948	2019-11-24	2019-11-30
2019	201949	2019-12-01	2019-12-07
2019	201950	2019-12-08	2019-12-14
2019	201951	2019-12-15	2019-12-21
2019	201952	2019-12-22	2019-12-28
2020	20201	2019-12-29	2020-01-04
2020	20202	2020-01-05	2020-01-11
2020	20203	2020-01-12	2020-01-18
2020	20204	2020-01-19	2020-01-25
2020	20205	2020-01-26	2020-02-01
2020	20206	2020-02-02	2020-02-08
2020	20207	2020-02-09	2020-02-15
2020	20208	2020-02-16	2020-02-22
2020	20209	2020-02-23	2020-02-29
2020	202010	2020-03-01	2020-03-07
2020	202011	2020-03-08	2020-03-14
2020	202012	2020-03-15	2020-03-21
2020	202013	2020-03-22	2020-03-28
2020	202014	2020-03-29	2020-04-04
2020	202015	2020-04-05	2020-04-11
2020	202016	2020-04-12	2020-04-18
2020	202017	2020-04-19	2020-04-25
2020	202018	2020-04-26	2020-05-02
2020	202019	2020-05-03	2020-05-09
2020	202020	2020-05-10	2020-05-16
2020	202021	2020-05-17	2020-05-23
2020	202022	2020-05-24	2020-05-30
2020	202023	2020-05-31	2020-06-06
2020	202024	2020-06-07	2020-06-13
2020	202025	2020-06-14	2020-06-20
2020	202026	2020-06-21	2020-06-27
2020	202027	2020-06-28	2020-07-04
2020	202028	2020-07-05	2020-07-11
2020	202029	2020-07-12	2020-07-18
2020	202030	2020-07-19	2020-07-25
2020	202031	2020-07-26	2020-08-01
2020	202032	2020-08-02	2020-08-08
2020	202033	2020-08-09	2020-08-15
2020	202034	2020-08-16	2020-08-22
2020	202035	2020-08-23	2020-08-29
2020	202036	2020-08-30	2020-09-05
2020	202037	2020-09-06	2020-09-12
2020	202038	2020-09-13	2020-09-19
2020	202039	2020-09-20	2020-09-26
2020	202040	2020-09-27	2020-10-03
2020	202041	2020-10-04	2020-10-10
2020	202042	2020-10-11	2020-10-17
